cross_time,loc_name,loc_x,loc_y,flow_dir,chid,switch_time,fs
2021-03-21 14:43:50,b,0.1978275407,0.04072561075,1,0,2021-03-21 14:43:35,low
2021-03-21 14:49:55,b,0.1978275407,0.04072561075,-1,1,2021-03-21 14:49:31,low
2021-03-21 14:54:54,c,0.2013212914,0.3373348094,1,2,2021-03-21 14:54:39,low
2021-03-21 15:00:35,c,0.2013212914,0.3373348094,-1,3,2021-03-21 15:00:11,low
2021-03-21 15:06:20,d,0.1590560932,0.6149255964,1,4,2021-03-21 15:06:06,low
2021-03-21 15:11:57,d,0.1590560932,0.6149255964,-1,5,2021-03-21 15:11:40,low
2021-03-21 15:17:51,e,0.1268805831,0.9738961724,1,6,2021-03-21 15:17:37,low
2021-03-21 15:23:25,e,0.1268805831,0.9738961724,-1,7,2021-03-21 15:23:12,low
2021-03-21 15:28:55,e,0.1268805831,0.9738961724,-1,7,2021-03-21 15:23:12,low
2021-03-21 15:30:00,f,0.6263209554,0.942659849,1,8,2021-03-21 15:29:47,low
2021-03-21 15:35:22,f,0.6263209554,0.942659849,-1,9,2021-03-21 15:35:07,low
2021-03-21 15:41:03,g,0.6779369792,0.4552867591,1,10,2021-03-21 15:40:50,low
2021-03-21 15:47:33,g,0.6779369792,0.4552867591,-1,11,2021-03-21 15:47:17,low
2021-03-21 15:52:36,i,0.6921440679,0.05027828211,1,12,2021-03-21 15:52:23,low
2021-03-21 15:58:38,i,0.6921440679,0.05027828211,-1,13,2021-03-21 15:58:15,low
2021-03-21 16:05:08,j,0.9592554585,0.02191246138,1,14,2021-03-21 16:04:57,low
2021-03-21 16:11:13,j,0.9592554585,0.02191246138,-1,15,2021-03-21 16:11:00,low
2021-03-21 16:17:19,k,1.007472135,0.4189325265,1,16,2021-03-21 16:17:04,low
2021-03-21 16:22:57,k,1.007472135,0.4189325265,-1,17,2021-03-21 16:22:34,low
2021-03-21 16:33:56,l,1.049884069,0.9433588409,-1,19,2021-03-21 16:33:49,low
2021-03-21 16:40:52,r,1.752008641,0.9767815979,1,20,2021-03-21 16:40:38,low
2021-03-21 16:46:31,r,1.752008641,0.9767815979,-1,21,2021-03-21 16:46:20,low
2021-03-21 17:04:06,t,2.5931673185,0.9610203042,1,22,2021-03-21 17:03:51,low
2021-03-21 17:09:15,t,2.5931673185,0.9610203042,-1,23,2021-03-21 17:09:02,low
2021-03-21 17:14:17,t,2.5931673185,0.9610203042,-1,23,2021-03-21 17:09:02,low
2021-03-21 17:20:50,u,2.3227920846,0.06044992135,-1,25,2021-03-21 17:20:34,low
2021-03-21 17:27:34,v,1.9375931096999999,0.04368429777,1,26,2021-03-21 17:27:21,low
2021-03-21 17:33:01,v,1.9375931096999999,0.04368429777,-1,27,2021-03-21 17:32:49,low
2021-03-21 17:38:59,v,1.9375931096999999,0.04368429777,-1,27,2021-03-21 17:32:49,low
2021-03-23 15:26:31,w,2.6434068563,0.06915679714,-1,28,2021-03-23 15:26:08,low
2021-03-23 15:31:22,w,2.6434068563,0.06915679714,1,29,2021-03-23 15:31:07,low
2021-03-23 15:38:20,x,2.6640761692,0.3547540766,-1,30,2021-03-23 15:37:57,low
2021-03-23 15:43:22,x,2.6640761692,0.3547540766,1,31,2021-03-23 15:43:08,low
2021-03-23 15:49:21,y,2.2463850493,0.3899630348,-1,32,2021-03-23 15:48:59,low
2021-03-23 15:54:53,y,2.2463850493,0.3899630348,1,33,2021-03-23 15:54:37,low
2021-03-23 16:00:50,z,2.2364817330999998,0.7275284311,-1,34,2021-03-23 16:00:37,low
2021-03-23 16:06:17,z,2.2364817330999998,0.7275284311,1,35,2021-03-23 16:06:06,low
2021-03-23 16:13:13,q,2.6867042077,0.6556688779,-1,36,2021-03-23 16:12:50,low
2021-03-23 16:18:36,q,2.6867042077,0.6556688779,1,37,2021-03-23 16:18:26,low
2021-09-14 12:46:40,h2,1.652875049,0.4589488413,1,38,2021-09-14 12:46:28,high
2021-09-14 12:52:05,h3,2.2284796253,0.07027919067,-1,39,2021-09-14 12:51:50,high
2021-09-14 12:56:07,h4,2.4266672018,0.6924470266,1,40,2021-09-14 12:55:54,high
2021-09-14 13:00:06,h5,2.163465337,0.9880497977,-1,41,2021-09-14 12:59:50,high
2021-09-14 13:03:54,h6,1.8335434985,0.9603464217,1,42,2021-09-14 13:03:39,high
2021-09-14 13:15:01,h7,2.0438211571,0.693844025,-1,43,2021-09-14 13:14:44,high
2021-09-14 13:18:33,h8,2.4072796910000003,0.1945235193,1,44,2021-09-14 13:18:21,high
2021-09-14 13:22:42,h9,1.8460284534,0.05947876116,-1,45,2021-09-14 13:22:24,high
2021-09-14 13:26:22,h10,2.4738619999,0.2101015072,1,46,2021-09-14 13:26:11,high
2021-09-14 13:29:27,h10,2.4738619999,0.2101015072,1,46,2021-09-14 13:26:11,high
2021-09-14 13:33:52,h12,1.649184698,0.5161617842,1,48,2021-09-14 13:33:40,high
2021-09-14 13:38:03,h18,0.97667096,0.4464791768,-1,49,2021-09-14 13:37:46,high
2021-09-14 13:41:52,h19,0.588139826,0.4474908016,1,50,2021-09-14 13:41:40,high
2021-09-14 13:45:38,h20,0.5701080907,0.04315684962,-1,51,2021-09-14 13:45:22,high
2021-09-14 13:49:20,h21,0.1693664778,0.06404716214,1,52,2021-09-14 13:49:07,high
2021-09-14 13:53:08,h22,0.156951158,0.3475174004,-1,53,2021-09-14 13:52:47,high
2021-09-14 13:56:49,h23,0.1508229727,0.6954182482,1,54,2021-09-14 13:56:37,high
2021-09-14 14:00:39,h24,0.5226937215,0.6649009755,-1,55,2021-09-14 14:00:21,high
2021-09-14 14:04:19,h25,0.9495073643,0.9284499853,1,56,2021-09-14 14:04:08,high
2021-09-14 14:08:08,h26,0.4748839345,0.9190557968,-1,57,2021-09-14 14:07:47,high
2021-09-14 14:11:48,h27,0.1170593548,0.9603966122,1,58,2021-09-14 14:11:34,high
2021-09-14 14:12:12,h27,0.1170593548,0.9603966122,1,58,2021-09-14 14:11:34,high
2021-09-14 14:15:31,h28,0.3787576588,0.8303937717,-1,59,2021-09-14 14:15:14,high
2021-09-14 14:19:12,h30,0.3506333849,0.1357284456,1,60,2021-09-14 14:19:02,high
